-0.2470  	0.07056  	-0.1883  	-1.6447  	-0.9929  	-1.2405  	0.29293  	0.38678  	0.20100  	0.21720  	0.59421  	-0.1011  	0.23520  	0.07310  	-0.1171  	0.62024  	-0.0808  	-0.2016  	0.11468  	-0.0826  	0.40948  	0.32847  	-0.2068  	0.52835  	0.65467  	-0.4030  	0.41484  	-0.9676  	-0.3380  	0.34823  	0.22472  	0.16041  	-0.1583  	-0.0128  	0.50645  	-0.1462  	0.61605  	0.21801  	-0.7207  	0.19991  	0.27171  	0.03083  	-0.1174  	0.38678  	0.00649  	-0.0694  	0.01712  	-0.0024  	0.03226  	-0.0863  	-0.0167  	-0.0418  	-0.0249  	0.02587  	-0.0446  	-0.0438  	0.00036  	0.00413  	-0.0399  	0.02349  	0.00759  	-0.0011  	0.07368  	-0.0102  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2581  	0.07576  	-0.2145  	-1.6368  	-0.9849  	-1.2494  	0.29328  	0.37660  	0.20020  	0.21732  	0.61487  	-0.0970  	0.22531  	0.05540  	-0.1020  	0.60023  	-0.0748  	-0.2004  	0.10585  	-0.0869  	0.38592  	0.31905  	-0.1939  	0.51027  	0.63382  	-0.3967  	0.40271  	-0.9480  	-0.3320  	0.35349  	0.22818  	0.15622  	-0.1650  	-0.0138  	0.50386  	-0.1515  	0.61157  	0.22207  	-0.7312  	0.21196  	0.27267  	0.02640  	-0.1228  	0.38457  	0.00414  	-0.0665  	0.01710  	-0.0067  	0.02550  	-0.0826  	-0.0154  	-0.0391  	-0.0257  	0.02410  	-0.0453  	-0.0425  	0.00121  	0.00282  	-0.0361  	0.02216  	0.00573  	0.00181  	0.06966  	-0.0132  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2476  	0.08356  	-0.1927  	-1.6355  	-0.9868  	-1.2503  	0.29702  	0.38061  	0.19911  	0.21236  	0.62262  	-0.0889  	0.22531  	0.06776  	-0.1070  	0.60341  	-0.0871  	-0.1974  	0.11128  	-0.0918  	0.39498  	0.32214  	-0.2059  	0.50307  	0.63244  	-0.4030  	0.40329  	-0.9448  	-0.3270  	0.35126  	0.22651  	0.15826  	-0.1657  	-0.0162  	0.50835  	-0.1418  	0.61447  	0.22079  	-0.7332  	0.20942  	0.27655  	0.02698  	-0.1191  	0.38080  	0.00435  	-0.0679  	0.01847  	-0.0024  	0.02782  	-0.0821  	-0.0171  	-0.0400  	-0.0254  	0.02535  	-0.0445  	-0.0429  	0.00249  	0.00342  	-0.0367  	0.02393  	0.00524  	-0.0003  	0.07004  	-0.0135  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2323  	0.09320  	-0.1736  	-1.6442  	-0.9946  	-1.2485  	0.29929  	0.38532  	0.20293  	0.20690  	0.61846  	-0.0831  	0.23304  	0.08742  	-0.1095  	0.61172  	-0.0987  	-0.1949  	0.11601  	-0.1001  	0.40426  	0.32714  	-0.2081  	0.49817  	0.63314  	-0.4039  	0.40423  	-0.9504  	-0.3248  	0.35554  	0.22767  	0.15715  	-0.1627  	-0.0144  	0.50960  	-0.1360  	0.61839  	0.21845  	-0.7346  	0.21252  	0.27966  	0.03108  	-0.1186  	0.38001  	0.00396  	-0.0697  	0.01882  	0.00082  	0.02965  	-0.0825  	-0.0181  	-0.0410  	-0.0239  	0.02714  	-0.0446  	-0.0404  	0.00047  	0.00342  	-0.0364  	0.02690  	0.00625  	-0.0013  	0.07055  	-0.0136  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2266  	0.08926  	-0.1699  	-1.6401  	-0.9853  	-1.2457  	0.30122  	0.38667  	0.20432  	0.21332  	0.61890  	-0.0817  	0.23382  	0.08575  	-0.1192  	0.61740  	-0.0978  	-0.1928  	0.11503  	-0.0939  	0.39733  	0.32218  	-0.2093  	0.49641  	0.62874  	-0.4031  	0.40268  	-0.9455  	-0.3227  	0.35557  	0.22599  	0.15763  	-0.1596  	-0.0145  	0.50657  	-0.1365  	0.61645  	0.21930  	-0.7319  	0.21283  	0.27765  	0.03135  	-0.1170  	0.38027  	0.00403  	-0.0695  	0.01896  	0.00122  	0.03023  	-0.0842  	-0.0185  	-0.0407  	-0.0246  	0.02682  	-0.0435  	-0.0409  	0.00079  	0.00310  	-0.0371  	0.02624  	0.00611  	-0.0017  	0.07076  	-0.0129  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2224  	0.08350  	-0.1587  	-1.6357  	-0.9797  	-1.2422  	0.30276  	0.39052  	0.20494  	0.22434  	0.62396  	-0.0890  	0.23270  	0.07754  	-0.1322  	0.62188  	-0.0960  	-0.1893  	0.11388  	-0.0885  	0.39297  	0.31609  	-0.2095  	0.49893  	0.62794  	-0.4041  	0.40663  	-0.9400  	-0.3182  	0.35494  	0.22181  	0.16070  	-0.1581  	-0.0147  	0.50390  	-0.1344  	0.61338  	0.22077  	-0.7263  	0.21063  	0.26977  	0.03191  	-0.1147  	0.38108  	0.00492  	-0.0691  	0.01790  	0.00220  	0.03050  	-0.0872  	-0.0179  	-0.0405  	-0.0250  	0.02521  	-0.0425  	-0.0415  	0.00218  	0.00276  	-0.0373  	0.02500  	0.00655  	-0.0032  	0.07144  	-0.0119  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.2660  	0.07745  	-0.1710  	-1.6519  	-0.9722  	-1.2736  	0.30080  	0.36264  	0.18551  	0.24746  	0.62292  	-0.0749  	0.22663  	0.04167  	-0.1865  	0.60797  	-0.1093  	-0.1617  	0.09643  	-0.0445  	0.35174  	0.29664  	-0.2436  	0.46927  	0.63501  	-0.3975  	0.35120  	-0.8642  	-0.2627  	0.34979  	0.23154  	0.14079  	-0.1500  	-0.0107  	0.47319  	-0.1111  	0.57380  	0.20705  	-0.7134  	0.21190  	0.29799  	0.03133  	-0.1100  	0.37913  	0.00267  	-0.0712  	0.02275  	0.00102  	0.02610  	-0.0874  	-0.0153  	-0.0424  	-0.0248  	0.02249  	-0.0423  	-0.0450  	0.00702  	1.70923  	-0.0365  	0.02269  	0.00452  	-0.0065  	0.07244  	-0.0114  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.7124  	-0.0659  	-0.5078  	-1.8742  	-1.0032  	-1.5879  	0.25189  	0.10671  	0.08129  	0.41770  	0.61590  	-0.0787  	0.17655  	-0.1937  	-0.4682  	0.51142  	-0.1164  	-0.0364  	0.07564  	0.08130  	0.00191  	0.26289  	-0.3249  	0.31146  	0.61305  	-0.3255  	0.09526  	-0.5168  	0.00632  	0.35514  	0.26859  	0.09238  	-0.1797  	0.00512  	0.26591  	0.03316  	0.30543  	0.11547  	-0.6208  	0.27269  	0.39925  	0.01854  	-0.0948  	0.38087  	0.01169  	-0.0692  	0.03252  	0.01148  	0.01871  	-0.0780  	-0.0076  	-0.0428  	-0.0261  	0.01521  	-0.0432  	-0.0535  	0.00837  	-0.0016  	-0.0272  	0.01810  	0.00238  	-0.0026  	0.07165  	-0.0076  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.7362  	-0.1274  	-0.5424  	-1.8833  	-1.0054  	-1.6117  	0.30895  	0.04438  	0.04188  	0.42824  	0.61293  	-0.1268  	0.14775  	-0.3080  	-0.5260  	0.48475  	-0.1049  	-0.0089  	0.08487  	0.12022  	-0.0680  	0.27516  	-0.3845  	0.31913  	0.66680  	-0.3508  	0.09963  	-0.4643  	0.06069  	0.37048  	0.25252  	0.09144  	-0.2258  	0.00027  	0.25450  	0.09417  	0.28677  	0.11566  	-0.6306  	0.29384  	0.38577  	0.02024  	-0.1036  	0.37420  	0.01486  	-0.0723  	0.02919  	0.00936  	0.02360  	-0.0794  	-0.0011  	-0.0415  	-0.0212  	0.01668  	-0.0418  	-0.0618  	0.01777  	0.00465  	-0.0312  	0.01881  	-0.0055  	-0.0009  	0.07614  	-0.0094  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
-0.6870  	-0.1394  	-0.5740  	-1.7822  	-0.9148  	-1.5672  	0.32550  	0.02579  	0.01559  	0.42869  	0.55980  	-0.1139  	0.16981  	-0.3676  	-0.5138  	0.54952  	-0.1497  	0.02768  	0.07260  	0.11014  	-0.1563  	0.27537  	-0.4593  	0.33439  	0.76786  	-0.3722  	0.13953  	-0.4082  	0.11511  	0.38722  	0.23913  	0.10700  	-0.2246  	-0.0117  	0.25280  	0.13138  	0.23608  	0.08906  	-0.5906  	0.34613  	0.36366  	0.02342  	-0.1230  	0.38212  	0.01756  	-0.0683  	0.02124  	-0.0039  	0.02604  	-0.0848  	0.00831  	-0.0462  	-0.0217  	0.01371  	-0.0363  	-0.0665  	0.02338  	0.00640  	-0.0317  	0.02110  	-0.0079  	-0.0125  	0.07646  	-0.0036  	0.14880  	-0.0095  	0.03107  	0.00427  	-0.0398  	0.10221  	
